,movie_name,movie_year,movie_runtime,imdb_ratings,metascore,number_votes,us_gross_millions
0,The Father,2020,97,8.3,88,52492,
1,Sound of Metal,2019,120,7.8,82,80409,
2,Another Round,2020,117,7.8,80,71801,
3,Zack Snyder's Justice League,2021,242,8.1,54,279997,
4,The Trial of the Chicago 7,2020,129,7.8,76,141967,
5,Soul,2020,100,8.1,83,235392,
6,Avengers: Endgame,2019,181,8.4,78,867549,858.37
7,The Godfather,1972,175,9.2,100,1654144,134.97
8,Parasite,2019,132,8.6,96,601702,53.37
9,Once Upon a Time... In Hollywood,2019,161,7.6,83,578531,142.5
10,The Shawshank Redemption,1994,142,9.3,80,2386720,28.34
11,Knives Out,2019,130,7.9,82,486966,165.36
12,"Three Billboards Outside Ebbing, Missouri",2017,115,8.1,88,447895,54.51
13,Sleepers,1996,147,7.6,49,197441,49.1
14,Avengers: Infinity War,2018,149,8.4,68,872902,678.82
15,Joker,2019,122,8.4,59,992060,335.45
16,Titanic,1997,194,7.8,75,1064506,659.33
17,The Dark Knight,2008,152,9.0,84,2349829,534.86
18,Fargo,1996,98,8.1,85,627879,24.61
19,Saving Private Ryan,1998,169,8.6,91,1259608,216.54
20,Dazed and Confused,1993,102,7.6,78,169399,7.99
21,Rush,2013,123,8.1,74,441293,26.95
22,Pulp Fiction,1994,154,8.9,94,1858711,107.93
23,Thor: Ragnarok,2017,130,7.9,74,610730,315.06
24,Interstellar,2014,169,8.6,74,1552851,188.02
25,The Wolf of Wall Street,2013,180,8.2,75,1219825,116.9
26,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,672740,317.58
27,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1689874,315.54
28,The Silence of the Lambs,1991,118,8.6,85,1295445,130.74
29,Get Out,2017,104,7.7,85,506511,176.04
30,Citizen Kane,1941,119,8.3,100,411601,1.59
31,Inception,2010,148,8.8,74,2108234,292.58
32,Bohemian Rhapsody,2018,134,8.0,49,466713,216.43
33,Captain America: The Winter Soldier,2014,136,7.7,70,753299,259.77
34,Blade Runner 2049,2017,164,8.0,81,476880,92.05
35,Jojo Rabbit,2019,108,7.9,58,317401,0.35
36,The Gentlemen,2019,113,7.8,51,260574,
37,Inglourious Basterds,2009,153,8.3,69,1294438,120.54
38,Stardust,2007,127,7.6,66,258198,38.63
39,Predator,1987,107,7.8,45,376855,59.74
40,Guardians of the Galaxy,2014,121,8.0,76,1061795,333.18
41,Alien,1979,117,8.4,89,801330,78.9
42,Back to the Future,1985,116,8.5,87,1079031,210.61
43,The Martian,2015,144,8.0,80,773973,228.43
44,No Country for Old Men,2007,122,8.1,91,874600,74.28
45,The Godfather: Part II,1974,202,9.0,90,1150641,57.3
46,Heat,1995,170,8.2,76,588697,67.44
47,1917,2019,119,8.3,78,457478,159.23
48,Captain America: Civil War,2016,147,7.8,75,682645,408.08
49,Deadpool 2,2018,119,7.7,66,495225,324.59
